--------------------------------
Game: DemonAttack-v0
Mode: train
Using Double DQN: True
--------------------------------
Game setup and ready to go!
{'RIGHT': 26, 'FIRE': 24, 'RIGHTFIRE': 21, 'LEFTFIRE': 17, 'NOOP': 26, 'LEFT': 32}
{'RIGHT': 8, 'FIRE': 8, 'RIGHTFIRE': 10, 'LEFTFIRE': 17, 'NOOP': 22, 'LEFT': 18}
{'RIGHT': 12, 'FIRE': 14, 'RIGHTFIRE': 12, 'LEFTFIRE': 20, 'NOOP': 10, 'LEFT': 17}
{'RIGHT': 30, 'FIRE': 39, 'RIGHTFIRE': 40, 'LEFTFIRE': 30, 'NOOP': 42, 'LEFT': 45}
{'RIGHT': 19, 'FIRE': 14, 'RIGHTFIRE': 12, 'LEFTFIRE': 14, 'NOOP': 9, 'LEFT': 12}
{'RIGHT': 151, 'FIRE': 144, 'RIGHTFIRE': 153, 'LEFTFIRE': 161, 'NOOP': 148, 'LEFT': 155}
{'RIGHT': 22, 'FIRE': 25, 'RIGHTFIRE': 27, 'LEFTFIRE': 28, 'NOOP': 33, 'LEFT': 26}
{'RIGHT': 21, 'FIRE': 32, 'RIGHTFIRE': 16, 'LEFTFIRE': 23, 'NOOP': 18, 'LEFT': 20}
{'RIGHT': 22, 'FIRE': 17, 'RIGHTFIRE': 17, 'LEFTFIRE': 15, 'NOOP': 20, 'LEFT': 28}
{'RIGHT': 29, 'FIRE': 22, 'RIGHTFIRE': 22, 'LEFTFIRE': 25, 'NOOP': 17, 'LEFT': 31}
{'RIGHT': 69, 'FIRE': 71, 'RIGHTFIRE': 76, 'LEFTFIRE': 83, 'NOOP': 69, 'LEFT': 84}
{'RIGHT': 71, 'FIRE': 73, 'RIGHTFIRE': 62, 'LEFTFIRE': 68, 'NOOP': 58, 'LEFT': 70}
{'RIGHT': 79, 'FIRE': 75, 'RIGHTFIRE': 83, 'LEFTFIRE': 85, 'NOOP': 88, 'LEFT': 106}
{'RIGHT': 53, 'FIRE': 42, 'RIGHTFIRE': 54, 'LEFTFIRE': 48, 'NOOP': 34, 'LEFT': 31}
{'RIGHT': 103, 'FIRE': 121, 'RIGHTFIRE': 102, 'LEFTFIRE': 112, 'NOOP': 132, 'LEFT': 112}
{'RIGHT': 8, 'FIRE': 14, 'RIGHTFIRE': 19, 'LEFTFIRE': 18, 'NOOP': 13, 'LEFT': 12}
{'RIGHT': 66, 'FIRE': 62, 'RIGHTFIRE': 61, 'LEFTFIRE': 62, 'NOOP': 80, 'LEFT': 45}
{'RIGHT': 35, 'FIRE': 29, 'RIGHTFIRE': 34, 'LEFTFIRE': 30, 'NOOP': 33, 'LEFT': 33}
{'RIGHT': 25, 'FIRE': 25, 'RIGHTFIRE': 28, 'LEFTFIRE': 24, 'NOOP': 26, 'LEFT': 33}
{'RIGHT': 18, 'FIRE': 15, 'RIGHTFIRE': 17, 'LEFTFIRE': 24, 'NOOP': 17, 'LEFT': 24}
{'RIGHT': 28, 'FIRE': 37, 'RIGHTFIRE': 28, 'LEFTFIRE': 31, 'NOOP': 30, 'LEFT': 29}
{'RIGHT': 19, 'FIRE': 16, 'RIGHTFIRE': 18, 'LEFTFIRE': 17, 'NOOP': 18, 'LEFT': 17}
{'RIGHT': 40, 'FIRE': 62, 'RIGHTFIRE': 58, 'LEFTFIRE': 46, 'NOOP': 54, 'LEFT': 42}
{'RIGHT': 43, 'FIRE': 62, 'RIGHTFIRE': 46, 'LEFTFIRE': 50, 'NOOP': 48, 'LEFT': 55}
{'RIGHT': 24, 'FIRE': 44, 'RIGHTFIRE': 38, 'LEFTFIRE': 38, 'NOOP': 40, 'LEFT': 26}
{'RIGHT': 15, 'FIRE': 16, 'RIGHTFIRE': 11, 'LEFTFIRE': 18, 'NOOP': 8, 'LEFT': 20}
{'RIGHT': 17, 'FIRE': 27, 'RIGHTFIRE': 21, 'LEFTFIRE': 11, 'NOOP': 18, 'LEFT': 18}
{'RIGHT': 35, 'FIRE': 36, 'RIGHTFIRE': 35, 'LEFTFIRE': 33, 'NOOP': 25, 'LEFT': 40}
{'RIGHT': 39, 'FIRE': 52, 'RIGHTFIRE': 56, 'LEFTFIRE': 46, 'NOOP': 53, 'LEFT': 42}
{'RIGHT': 19, 'FIRE': 23, 'RIGHTFIRE': 22, 'LEFTFIRE': 22, 'NOOP': 27, 'LEFT': 30}
{'RIGHT': 36, 'FIRE': 54, 'RIGHTFIRE': 36, 'LEFTFIRE': 43, 'NOOP': 50, 'LEFT': 50}
{'RIGHT': 29, 'FIRE': 38, 'RIGHTFIRE': 26, 'LEFTFIRE': 27, 'NOOP': 30, 'LEFT': 30}
{'RIGHT': 154, 'FIRE': 149, 'RIGHTFIRE': 150, 'LEFTFIRE': 139, 'NOOP': 121, 'LEFT': 137}
{'RIGHT': 8, 'FIRE': 6, 'RIGHTFIRE': 5, 'LEFTFIRE': 15, 'NOOP': 10, 'LEFT': 13}
{'RIGHT': 18, 'FIRE': 12, 'RIGHTFIRE': 17, 'LEFTFIRE': 11, 'NOOP': 14, 'LEFT': 10}
{'RIGHT': 24, 'FIRE': 18, 'RIGHTFIRE': 20, 'LEFTFIRE': 26, 'NOOP': 23, 'LEFT': 29}
{'RIGHT': 140, 'FIRE': 145, 'RIGHTFIRE': 141, 'LEFTFIRE': 139, 'NOOP': 159, 'LEFT': 147}
{'RIGHT': 21, 'FIRE': 20, 'RIGHTFIRE': 20, 'LEFTFIRE': 20, 'NOOP': 19, 'LEFT': 19}
{'RIGHT': 57, 'FIRE': 62, 'RIGHTFIRE': 60, 'LEFTFIRE': 51, 'NOOP': 59, 'LEFT': 45}
{'RIGHT': 63, 'FIRE': 57, 'RIGHTFIRE': 60, 'LEFTFIRE': 54, 'NOOP': 53, 'LEFT': 64}
{'RIGHT': 22, 'FIRE': 18, 'RIGHTFIRE': 17, 'LEFTFIRE': 24, 'NOOP': 17, 'LEFT': 18}
{'RIGHT': 46, 'FIRE': 73, 'RIGHTFIRE': 48, 'LEFTFIRE': 57, 'NOOP': 65, 'LEFT': 50}
{'RIGHT': 72, 'FIRE': 84, 'RIGHTFIRE': 66, 'LEFTFIRE': 85, 'NOOP': 66, 'LEFT': 60}
{'RIGHT': 24, 'FIRE': 20, 'RIGHTFIRE': 13, 'LEFTFIRE': 21, 'NOOP': 15, 'LEFT': 18}
{'RIGHT': 82, 'FIRE': 62, 'RIGHTFIRE': 62, 'LEFTFIRE': 61, 'NOOP': 73, 'LEFT': 76}
{'RIGHT': 41, 'FIRE': 35, 'RIGHTFIRE': 44, 'LEFTFIRE': 39, 'NOOP': 44, 'LEFT': 41}
{'RIGHT': 58, 'FIRE': 49, 'RIGHTFIRE': 45, 'LEFTFIRE': 52, 'NOOP': 49, 'LEFT': 52}
{'RIGHT': 23, 'FIRE': 40, 'RIGHTFIRE': 29, 'LEFTFIRE': 31, 'NOOP': 19, 'LEFT': 33}
{'RIGHT': 15, 'FIRE': 15, 'RIGHTFIRE': 16, 'LEFTFIRE': 16, 'NOOP': 9, 'LEFT': 9}
{'RIGHT': 22, 'FIRE': 26, 'RIGHTFIRE': 22, 'LEFTFIRE': 27, 'NOOP': 28, 'LEFT': 20}
{'RIGHT': 47, 'FIRE': 38, 'RIGHTFIRE': 53, 'LEFTFIRE': 51, 'NOOP': 46, 'LEFT': 37}
{'RIGHT': 62, 'FIRE': 57, 'RIGHTFIRE': 57, 'LEFTFIRE': 59, 'NOOP': 64, 'LEFT': 67}
{'RIGHT': 45, 'FIRE': 49, 'RIGHTFIRE': 47, 'LEFTFIRE': 39, 'NOOP': 44, 'LEFT': 33}
{'RIGHT': 57, 'FIRE': 45, 'RIGHTFIRE': 62, 'LEFTFIRE': 52, 'NOOP': 70, 'LEFT': 68}
{'RIGHT': 76, 'FIRE': 65, 'RIGHTFIRE': 82, 'LEFTFIRE': 78, 'NOOP': 71, 'LEFT': 91}
{'RIGHT': 19, 'FIRE': 15, 'RIGHTFIRE': 13, 'LEFTFIRE': 22, 'NOOP': 22, 'LEFT': 23}
{'RIGHT': 75, 'FIRE': 62, 'RIGHTFIRE': 88, 'LEFTFIRE': 62, 'NOOP': 69, 'LEFT': 76}
{'RIGHT': 25, 'FIRE': 38, 'RIGHTFIRE': 31, 'LEFTFIRE': 25, 'NOOP': 30, 'LEFT': 33}
{'RIGHT': 60, 'FIRE': 44, 'RIGHTFIRE': 50, 'LEFTFIRE': 37, 'NOOP': 52, 'LEFT': 64}
{'RIGHT': 70, 'FIRE': 62, 'RIGHTFIRE': 67, 'LEFTFIRE': 79, 'NOOP': 81, 'LEFT': 56}
{'RIGHT': 28, 'FIRE': 26, 'RIGHTFIRE': 31, 'LEFTFIRE': 35, 'NOOP': 26, 'LEFT': 31}
{'RIGHT': 36, 'FIRE': 35, 'RIGHTFIRE': 30, 'LEFTFIRE': 43, 'NOOP': 41, 'LEFT': 31}
{'RIGHT': 72, 'FIRE': 69, 'RIGHTFIRE': 73, 'LEFTFIRE': 73, 'NOOP': 63, 'LEFT': 68}
{'RIGHT': 34, 'FIRE': 33, 'RIGHTFIRE': 31, 'LEFTFIRE': 33, 'NOOP': 28, 'LEFT': 33}
{'RIGHT': 31, 'FIRE': 28, 'RIGHTFIRE': 31, 'LEFTFIRE': 36, 'NOOP': 31, 'LEFT': 40}
{'RIGHT': 19, 'FIRE': 19, 'RIGHTFIRE': 23, 'LEFTFIRE': 15, 'NOOP': 24, 'LEFT': 25}
{'RIGHT': 39, 'FIRE': 43, 'RIGHTFIRE': 34, 'LEFTFIRE': 37, 'NOOP': 38, 'LEFT': 39}
{'RIGHT': 16, 'FIRE': 15, 'RIGHTFIRE': 18, 'LEFTFIRE': 22, 'NOOP': 17, 'LEFT': 23}
{'RIGHT': 78, 'FIRE': 59, 'RIGHTFIRE': 64, 'LEFTFIRE': 63, 'NOOP': 59, 'LEFT': 58}
{'RIGHT': 58, 'FIRE': 52, 'RIGHTFIRE': 51, 'LEFTFIRE': 57, 'NOOP': 50, 'LEFT': 54}
{'RIGHT': 36, 'FIRE': 43, 'RIGHTFIRE': 30, 'LEFTFIRE': 38, 'NOOP': 41, 'LEFT': 47}
{'RIGHT': 17, 'FIRE': 20, 'RIGHTFIRE': 17, 'LEFTFIRE': 20, 'NOOP': 17, 'LEFT': 19}
{'RIGHT': 43, 'FIRE': 42, 'RIGHTFIRE': 48, 'LEFTFIRE': 33, 'NOOP': 35, 'LEFT': 40}
{'RIGHT': 43, 'FIRE': 41, 'RIGHTFIRE': 39, 'LEFTFIRE': 41, 'NOOP': 41, 'LEFT': 38}
{'RIGHT': 63, 'FIRE': 57, 'RIGHTFIRE': 71, 'LEFTFIRE': 66, 'NOOP': 52, 'LEFT': 76}
{'RIGHT': 21, 'FIRE': 15, 'RIGHTFIRE': 13, 'LEFTFIRE': 10, 'NOOP': 11, 'LEFT': 10}
{'RIGHT': 36, 'FIRE': 32, 'RIGHTFIRE': 40, 'LEFTFIRE': 43, 'NOOP': 36, 'LEFT': 36}
{'RIGHT': 18, 'FIRE': 33, 'RIGHTFIRE': 29, 'LEFTFIRE': 26, 'NOOP': 22, 'LEFT': 27}
{'RIGHT': 50, 'FIRE': 51, 'RIGHTFIRE': 75, 'LEFTFIRE': 63, 'NOOP': 63, 'LEFT': 55}
{'RIGHT': 26, 'FIRE': 26, 'RIGHTFIRE': 21, 'LEFTFIRE': 18, 'NOOP': 18, 'LEFT': 20}
{'RIGHT': 14, 'FIRE': 19, 'RIGHTFIRE': 26, 'LEFTFIRE': 26, 'NOOP': 15, 'LEFT': 26}
{'RIGHT': 122, 'FIRE': 94, 'RIGHTFIRE': 109, 'LEFTFIRE': 92, 'NOOP': 112, 'LEFT': 100}
{'RIGHT': 95, 'FIRE': 84, 'RIGHTFIRE': 107, 'LEFTFIRE': 115, 'NOOP': 92, 'LEFT': 94}
{'RIGHT': 101, 'FIRE': 111, 'RIGHTFIRE': 110, 'LEFTFIRE': 102, 'NOOP': 102, 'LEFT': 86}
{'RIGHT': 20, 'FIRE': 21, 'RIGHTFIRE': 21, 'LEFTFIRE': 25, 'NOOP': 21, 'LEFT': 22}
{'RIGHT': 8, 'FIRE': 23, 'RIGHTFIRE': 11, 'LEFTFIRE': 11, 'NOOP': 13, 'LEFT': 16}
{'RIGHT': 48, 'FIRE': 30, 'RIGHTFIRE': 51, 'LEFTFIRE': 45, 'NOOP': 49, 'LEFT': 35}
{'RIGHT': 55, 'FIRE': 54, 'RIGHTFIRE': 59, 'LEFTFIRE': 66, 'NOOP': 55, 'LEFT': 47}
{'RIGHT': 59, 'FIRE': 72, 'RIGHTFIRE': 42, 'LEFTFIRE': 60, 'NOOP': 52, 'LEFT': 51}
{'RIGHT': 68, 'FIRE': 70, 'RIGHTFIRE': 72, 'LEFTFIRE': 53, 'NOOP': 77, 'LEFT': 77}
{'RIGHT': 9, 'FIRE': 15, 'RIGHTFIRE': 10, 'LEFTFIRE': 16, 'NOOP': 14, 'LEFT': 20}
{'RIGHT': 23, 'FIRE': 30, 'RIGHTFIRE': 20, 'LEFTFIRE': 26, 'NOOP': 17, 'LEFT': 21}
{'RIGHT': 88, 'FIRE': 77, 'RIGHTFIRE': 91, 'LEFTFIRE': 84, 'NOOP': 84, 'LEFT': 86}
{'RIGHT': 12, 'FIRE': 19, 'RIGHTFIRE': 20, 'LEFTFIRE': 21, 'NOOP': 17, 'LEFT': 17}
{'RIGHT': 23, 'FIRE': 37, 'RIGHTFIRE': 31, 'LEFTFIRE': 30, 'NOOP': 25, 'LEFT': 34}
{'RIGHT': 39, 'FIRE': 29, 'RIGHTFIRE': 36, 'LEFTFIRE': 27, 'NOOP': 31, 'LEFT': 45}
{'RIGHT': 12, 'FIRE': 11, 'RIGHTFIRE': 8, 'LEFTFIRE': 15, 'NOOP': 12, 'LEFT': 18}
{'RIGHT': 64, 'FIRE': 63, 'RIGHTFIRE': 49, 'LEFTFIRE': 68, 'NOOP': 63, 'LEFT': 57}
{'RIGHT': 15, 'FIRE': 12, 'RIGHTFIRE': 12, 'LEFTFIRE': 13, 'NOOP': 13, 'LEFT': 19}
{'RIGHT': 74, 'FIRE': 52, 'RIGHTFIRE': 73, 'LEFTFIRE': 67, 'NOOP': 57, 'LEFT': 48}
{'RIGHT': 57, 'FIRE': 57, 'RIGHTFIRE': 48, 'LEFTFIRE': 56, 'NOOP': 59, 'LEFT': 60}
{'RIGHT': 15, 'FIRE': 11, 'RIGHTFIRE': 6, 'LEFTFIRE': 19, 'NOOP': 16, 'LEFT': 15}
{'RIGHT': 61, 'FIRE': 66, 'RIGHTFIRE': 63, 'LEFTFIRE': 59, 'NOOP': 65, 'LEFT': 69}
{'RIGHT': 71, 'FIRE': 65, 'RIGHTFIRE': 72, 'LEFTFIRE': 84, 'NOOP': 57, 'LEFT': 58}
{'RIGHT': 100, 'FIRE': 124, 'RIGHTFIRE': 114, 'LEFTFIRE': 99, 'NOOP': 94, 'LEFT': 115}
{'RIGHT': 24, 'FIRE': 21, 'RIGHTFIRE': 27, 'LEFTFIRE': 35, 'NOOP': 21, 'LEFT': 24}
{'RIGHT': 21, 'FIRE': 25, 'RIGHTFIRE': 30, 'LEFTFIRE': 35, 'NOOP': 25, 'LEFT': 25}
{'RIGHT': 70, 'FIRE': 49, 'RIGHTFIRE': 69, 'LEFTFIRE': 73, 'NOOP': 68, 'LEFT': 54}
{'RIGHT': 31, 'FIRE': 41, 'RIGHTFIRE': 42, 'LEFTFIRE': 36, 'NOOP': 41, 'LEFT': 37}
{'RIGHT': 18, 'FIRE': 18, 'RIGHTFIRE': 11, 'LEFTFIRE': 17, 'NOOP': 25, 'LEFT': 15}
{'RIGHT': 52, 'FIRE': 43, 'RIGHTFIRE': 43, 'LEFTFIRE': 44, 'NOOP': 42, 'LEFT': 50}
{'RIGHT': 33, 'FIRE': 31, 'RIGHTFIRE': 42, 'LEFTFIRE': 29, 'NOOP': 42, 'LEFT': 31}
{'RIGHT': 114, 'FIRE': 114, 'RIGHTFIRE': 101, 'LEFTFIRE': 121, 'NOOP': 91, 'LEFT': 112}
{'RIGHT': 176, 'FIRE': 192, 'RIGHTFIRE': 204, 'LEFTFIRE': 215, 'NOOP': 189, 'LEFT': 206}
{'RIGHT': 25, 'FIRE': 35, 'RIGHTFIRE': 34, 'LEFTFIRE': 30, 'NOOP': 28, 'LEFT': 29}
{'RIGHT': 34, 'FIRE': 38, 'RIGHTFIRE': 50, 'LEFTFIRE': 35, 'NOOP': 44, 'LEFT': 43}
{'RIGHT': 31, 'FIRE': 31, 'RIGHTFIRE': 30, 'LEFTFIRE': 23, 'NOOP': 36, 'LEFT': 26}
{'RIGHT': 113, 'FIRE': 99, 'RIGHTFIRE': 113, 'LEFTFIRE': 107, 'NOOP': 116, 'LEFT': 105}
{'RIGHT': 10, 'FIRE': 20, 'RIGHTFIRE': 8, 'LEFTFIRE': 14, 'NOOP': 13, 'LEFT': 17}
{'RIGHT': 70, 'FIRE': 58, 'RIGHTFIRE': 73, 'LEFTFIRE': 58, 'NOOP': 69, 'LEFT': 55}
{'RIGHT': 51, 'FIRE': 41, 'RIGHTFIRE': 53, 'LEFTFIRE': 58, 'NOOP': 46, 'LEFT': 55}
{'RIGHT': 49, 'FIRE': 36, 'RIGHTFIRE': 40, 'LEFTFIRE': 43, 'NOOP': 33, 'LEFT': 40}
{'RIGHT': 76, 'FIRE': 66, 'RIGHTFIRE': 57, 'LEFTFIRE': 47, 'NOOP': 61, 'LEFT': 61}
{'RIGHT': 8, 'FIRE': 18, 'RIGHTFIRE': 11, 'LEFTFIRE': 18, 'NOOP': 13, 'LEFT': 16}
{'RIGHT': 135, 'FIRE': 120, 'RIGHTFIRE': 123, 'LEFTFIRE': 119, 'NOOP': 138, 'LEFT': 113}
{'RIGHT': 75, 'FIRE': 75, 'RIGHTFIRE': 87, 'LEFTFIRE': 72, 'NOOP': 71, 'LEFT': 76}
{'RIGHT': 14, 'FIRE': 21, 'RIGHTFIRE': 14, 'LEFTFIRE': 23, 'NOOP': 16, 'LEFT': 16}
{'RIGHT': 83, 'FIRE': 76, 'RIGHTFIRE': 75, 'LEFTFIRE': 68, 'NOOP': 79, 'LEFT': 55}
{'RIGHT': 11, 'FIRE': 5, 'RIGHTFIRE': 5, 'LEFTFIRE': 20, 'NOOP': 3, 'LEFT': 13}
{'RIGHT': 14, 'FIRE': 13, 'RIGHTFIRE': 10, 'LEFTFIRE': 20, 'NOOP': 8, 'LEFT': 19}
{'RIGHT': 49, 'FIRE': 43, 'RIGHTFIRE': 46, 'LEFTFIRE': 51, 'NOOP': 43, 'LEFT': 40}
{'RIGHT': 151, 'FIRE': 172, 'RIGHTFIRE': 171, 'LEFTFIRE': 164, 'NOOP': 159, 'LEFT': 162}
{'RIGHT': 51, 'FIRE': 45, 'RIGHTFIRE': 53, 'LEFTFIRE': 58, 'NOOP': 62, 'LEFT': 55}
{'RIGHT': 5, 'FIRE': 8, 'RIGHTFIRE': 4, 'LEFTFIRE': 15, 'NOOP': 9, 'LEFT': 10}
{'RIGHT': 22, 'FIRE': 27, 'RIGHTFIRE': 22, 'LEFTFIRE': 24, 'NOOP': 23, 'LEFT': 26}
{'RIGHT': 15, 'FIRE': 25, 'RIGHTFIRE': 17, 'LEFTFIRE': 14, 'NOOP': 20, 'LEFT': 21}
{'RIGHT': 128, 'FIRE': 120, 'RIGHTFIRE': 120, 'LEFTFIRE': 124, 'NOOP': 103, 'LEFT': 119}
{'RIGHT': 28, 'FIRE': 36, 'RIGHTFIRE': 30, 'LEFTFIRE': 29, 'NOOP': 30, 'LEFT': 26}
{'RIGHT': 24, 'FIRE': 23, 'RIGHTFIRE': 25, 'LEFTFIRE': 19, 'NOOP': 22, 'LEFT': 24}
{'RIGHT': 36, 'FIRE': 30, 'RIGHTFIRE': 34, 'LEFTFIRE': 37, 'NOOP': 31, 'LEFT': 41}
{'RIGHT': 64, 'FIRE': 77, 'RIGHTFIRE': 84, 'LEFTFIRE': 75, 'NOOP': 80, 'LEFT': 86}
{'RIGHT': 97, 'FIRE': 106, 'RIGHTFIRE': 121, 'LEFTFIRE': 118, 'NOOP': 101, 'LEFT': 115}
{'RIGHT': 47, 'FIRE': 50, 'RIGHTFIRE': 63, 'LEFTFIRE': 53, 'NOOP': 37, 'LEFT': 57}
{'RIGHT': 44, 'FIRE': 38, 'RIGHTFIRE': 33, 'LEFTFIRE': 38, 'NOOP': 35, 'LEFT': 31}
{'RIGHT': 22, 'FIRE': 24, 'RIGHTFIRE': 24, 'LEFTFIRE': 26, 'NOOP': 21, 'LEFT': 27}
{'RIGHT': 28, 'FIRE': 17, 'RIGHTFIRE': 18, 'LEFTFIRE': 16, 'NOOP': 23, 'LEFT': 12}
{'RIGHT': 138, 'FIRE': 117, 'RIGHTFIRE': 135, 'LEFTFIRE': 132, 'NOOP': 111, 'LEFT': 116}
{'RIGHT': 11, 'FIRE': 15, 'RIGHTFIRE': 14, 'LEFTFIRE': 13, 'NOOP': 11, 'LEFT': 18}
{'RIGHT': 30, 'FIRE': 36, 'RIGHTFIRE': 42, 'LEFTFIRE': 47, 'NOOP': 42, 'LEFT': 33}
